"word","resp"
"system","system;analyst;breakdown;down;3;2;1;2"
"physics","physics;nano;quantum;basic;4;5;3;3"
"biology","biology;wet;microbe;life;3;4;2;5"
"university","university;school;merit;class;4;3;4;3"
"life","life;death;love;seek;5;2;4;3"
"complex","complex;system;idea;mechanics;5;3;4;3"
"mathematics","mathematics;chaos;discrete;node;4;5;3;3"
"chemistry","chemistry;bond;carbon;sex;3;4;3;5"
"art","art;life;music;color;5;5;5;5"
"school","school;study;play;time;4;3;4;4"
"age","42"
"gender","male"
"nationality","Greek"
"job","researcher"
