"word","resp"
"life","life;breath;love;age;5;5;5;5"
"physics","physics;complexity;nature;school subject;3;5;4;2"
"school","school;education;knowledge;loneliness;3;5;5;1"
"biology","biology;animals;school subject;documentaries;4;5;2;4"
"mathematics","mathematics;fun;language;equations;4;5;4;4"
"complex","complex;systems;life;growth;5;5;5;5"
"system","system;interconnection;co-dependence;wholeness;4;5;5;5"
"university","university;growth;challenge;fear;4;5;3;1"
"art","art;sight;connection;time;5;5;5;5"
"chemistry","chemistry;experiment;equipment;elements;3;5;3;3"
"age","32"
"gender","female"
"nationality","greek"
"job","master student"
