"word","resp"
"mathematics","mathematics;calculating;science;philosophy;5;4;3;4"
"biology","biology;life;nature;science;5;4;4;3"
"school","school;learning;building;education;5;5;4;5"
"chemistry","chemistry;science;synthesis;analysis;5;3;4;3"
"life","life;nature;organism;ecosystem ;5;3;4;4"
"physics","physics;science ;mechanics;nature;5;4;3;4"
"art","art;fantasy;humanity ;;5;3;2;"
"complex","complex;system;;;5;3;;"
"university","university;research;education;science;5;5;4;4"
"system","system;reaction;automation;relationship ;5;2;3;3"
"age","66"
"gender","male"
"nationality","german"
"job","biologist"
