"word","resp"
"mathematics","mathematics;Chalkboard;School;Bus;4;4;5;4"
"school","school;Winter;Snow;Ash;5;4;4;3"
"complex","complex;Web;Dew;Chemistry;3;4;5;3"
"system","system;Machine;Gear;Leather;3;4;4;3"
"biology","biology;Soup;Steam;Engine;4;3;4;4"
"chemistry","chemistry;Lab;Odors;Nose;3;3;2;2"
"life","life;Movie;Script;Hand ;4;4;4;5"
"physics","physics;Airplane;Humming;Johnny cash;3;2;3;5"
"university","university;Quad;Frisbee;Dog;4;3;2;5"
"art","art;Frame;House;Fire;4;3;4;5"
"age","37"
"gender","Male"
"nationality","American"
"job","Quality Assurance Analyst"
