"word","resp"
"biology","biology;Life;Growth;Death;5;5;5;3"
"physics","physics;How;When;Where;5;5;5;5"
"school","school;Building;Seats;Doors;3;3;3;3"
"chemistry","chemistry;Mixing;Creating;Melding;5;5;5;5"
"life","life;Outwards;Upwards;Now;5;5;5;5"
"mathematics","mathematics;Universe;Patterns;Directions;5;5;5;5"
"university","university;Buildings;People;Walls;3;3;3;3"
"system","system;Sets;Direction;Enclosures;5;5;5;5"
"complex","complex;Beauty;Sustainability;Balance;5;5;5;5"
"art","art;Subjective;Boundaryless;Sensory;5;3;3;5"
"age","48"
"gender","Female"
"nationality","American"
"job","Scientist"
