"word","resp"
"biology","biology;Ecosystems;Life;Evolution;4;5;5;5"
"physics","physics;Vector;Empirical;Evoling;4;4;4;5"
"school","school;Complex;Academics;Socialization;3;5;3;4"
"chemistry","chemistry;Micro;Nonlinear;Self-Organization;4;4;5;5"
"life","life;Mysterious;Fractal;Impermanent;5;5;5;5"
"mathematics","mathematics;Mirror;Unifies;Focused;4;4;4;4"
"university","university;Politics;Money;Research;3;1;3;5"
"system","system;Catalytic;Auctcatakytic;Nonlinear;5;5;5;5"
"complex","complex;Pressure;Entropic;Nonlinear;5;5;;5"
"art","art;Express;Subjective;Music;4;4;4;5"
"age",""
"gender",""
"nationality",""
"job",""
