"word","resp"
"complex","complex;patterns;systems;nuance/detail ;4;5;3;3"
"art","art;painting;colors/shapes;objects useful for expression (instruments, materials, etc);3;4;5;4"
"mathematics","mathematics;figures;language ;quantifying ;4;3;4;4"
"physics","physics;movement;being;mathematics;4;5;5;4"
"university","university;campus buildings;crowds (+sounds of crowds);communication/ideas;4;3;2;4"
"chemistry","chemistry;scaling (like zooming in/out);communication (of materials);periodic table ;4;5;4;3"
"biology","biology;plants;animals;cells ;4;5;4;4"
"life","life;complexity ;Alan Watts ;beauty;4;4;5;4"
"system","system;structure;flow/path;interaction ;3;3;5;5"
"school","school;crowd ;desks ;hallways ;4;2;3;3"
"age","21"
"gender","Man"
"nationality","Macedonian"
"job","Student "
