"word","resp"
"complex","complex;web;interdisciplinary;network;5;4;5;5"
"university","university;academics;success;diploma;4;4;4;3"
"art","art;expression;creation;portray;5;5;5;4"
"physics","physics;relativity;clockwork;atomic;3;3;5;4"
"biology","biology;life;touch;system;5;5;5;5"
"life","life;cycle;death;choices;5;5;5;5"
"system","system;practical;conservative;functional;5;3;2;4"
"mathematics","mathematics;variable;number;equate;2;4;1;3"
"school","school;childhood;brilliance;formation;4;4;5;5"
"chemistry","chemistry;engineer;attraction;alchemy;5;5;5;5"
"age","18"
"gender","male"
"nationality","Macedonian"
"job","student"
