"word","resp"
"system","system;Set;Solar;Equations;3;4;5;5"
"biology","biology;Body;Disease;Ecology;5;5;1;4"
"physics","physics;Nature;Society;Measure;4;5;4;3"
"school","school;Fish;Class;Institution;3;4;3;4"
"complex","complex;Matter;Problem;Number;4;3;3;4"
"art","art;Statue;Church;Sculpture;5;5;5;5"
"mathematics","mathematics;Symmetry;Balance;Beauty;5;5;5;5"
"chemistry","chemistry;Chemical;Becker;Equilibrium;3;3;3;5"
"university","university;Professor;Job;Staff;3;3;5;4"
"life","life;Complicated;Progress;Evolution;5;2;4;4"
"age","29"
"gender","M"
"nationality","Italian"
"job","Teacher"
