"word","resp"
"school","school;teach;students;body of knowledge;3;4;3;5"
"mathematics","mathematics;proof;reasoning;quantitative study;5;5;5;5"
"biology","biology;living organisms;biochemistry;medicine;5;5;5;5"
"system","system;organization;feedbacks;hierarchy;3;3;3;2"
"university","university;institution;research;campus;4;3;5;4"
"art","art;technique;expression;insight;4;4;4;5"
"physics","physics;statics;F=ma;experiment;5;4;5;5"
"life","life;vitality;ecosystem;death;5;5;5;1"
"complex","complex;feedbacks;obscurity;nonlinear;3;4;2;4"
"chemistry","chemistry;solution;gradient;energy of activation;4;3;4;4"
"age","49"
"gender","Female"
"nationality","USA"
"job","Retired"
