"word","resp"
"mathematics","mathematics;equations;science;numeric;3;3;3;3"
"biology","biology;cells;organisms;life;3;3;4;4"
"school","school;boring;tired;;3;2;2;"
"complex","complex;interesting;networks;;4;4;3;"
"chemistry","chemistry;molecules;elements;tables;3;3;3;3"
"system","system;interconnections;influence;feedback;3;4;3;3"
"university","university;scholarly;education;research;3;4;3;3"
"physics","physics;particles;space;mathematic;3;3;3;3"
"life","life;biological;cells;organisms;3;3;3;3"
"art","art;creativity;color;shape;3;4;3;3"
"age","32"
"gender","male"
"nationality","American (USA)"
"job","graduate student"
