"word","resp"
"university","university;school;student;library;5;2;4;5"
"complex","complex;system;network;emergence;5;4;5;5"
"life","life;origin;fire;entropy;5;5;5;5"
"mathematics","mathematics;number;reason;proof;4;3;4;2"
"system","system;thinking;parts;network;4;3;2;4"
"art","art;abstract;meaning;color;4;3;5;5"
"biology","biology;cell;wet;living;3;3;3;5"
"physics","physics;fundamental;mathematics;discovery;4;5;2;5"
"school","school;university;student;learning;2;4;4;5"
"chemistry","chemistry;atom;reaction;catalysis;3;4;4;5"
"age","19"
"gender","male"
"nationality","United States of America"
"job","Student"
