"word","resp"
"complex","complex;dense;life;interdependency;3;3;4;4"
"chemistry","chemistry;organic;inorganic;biological;3;3;3;3"
"life","life;suchness;just this;surprise;4;3;3;5"
"biology","biology;complex systems;flourish;Mrs O'donnell;3;3;4;5"
"art","art;yes;no;the space in between;4;4;4;5"
"system","system;inside;outside;the space in between;3;3;3;5"
"school","school;study;community;fun;3;2;5;5"
"mathematics","mathematics;all that jazz;point;purely impure;3;5;3;3"
"physics","physics;astro;quantum;relationship;3;3;3;4"
"university","university;departments;community;life;3;3;5;5"
"age","69"
"gender","male"
"nationality","Gaelic"
"job","physician"
