"word","resp"
"university","university;School;Majestic;Work;4;4;5;3"
"art","art;Painting;Beauty;Culture;5;5;5;5"
"life","life;Living;Biology;Timespan;5;4;4;3"
"biology","biology;Microbe;Bodies;Cells;4;3;4;3"
"physics","physics;Particles;Interesting;Models;3;3;5;4"
"mathematics","mathematics;Equations;Derivatives;Pristine;3;3;3;4"
"complex","complex;Intricate;Complicated;Fun;4;4;2;5"
"school","school;Primary;Fish;Kids;3;3;3;5"
"system","system;Interconnected;Plan;Cheat;4;4;3;1"
"chemistry","chemistry;Chemicals;Molecules;Acid;3;3;4;3"
"age","59"
"gender","Woman"
"nationality","Swedish"
"job","Psychology prof"
