"word","resp"
"mathematics","mathematics;numbers;2x+5^a;squared-notebook;2;3;3;2"
"chemistry","chemistry;H2O;reactions;transformation;3;3;3;5"
"life","life;*feeling-of-now*;white-with-the-word-itself;fawn;5;3;4;4"
"complex","complex;shapes;intertwined;colors;4;4;4;5"
"physics","physics;wind;green;transparency;4;4;3;3"
"school","school;schoolbag;kids;blackboard;3;2;4;3"
"biology","biology;life;cells;dark-yellow;3;3;3;4"
"system","system;blueprint;crossing-of-lines;structure;3;4;3;4"
"art","art;kandinsky-shapes;colors;paint;5;4;4;3"
"university","university;big-house-with-red-roof;*feeling-of-wise-knowledge*;mystery;3;4;4;4"
"age","40"
"gender","M"
"nationality","Italian"
"job","research - film direction"
