"word","resp"
"life","life;short;happenings;force;5;2;3;3"
"mathematics","mathematics;tools;derivative;theorem;4;3;3;4"
"chemistry","chemistry;balance;equilibrium;thermodynamics;3;4;5;3"
"university","university;rules;classes;theory;4;4;4;4"
"biology","biology;pharmaceutics;ph;species;3;5;3;3"
"system","system;open;operative;data;3;5;5;4"
"physics","physics;book;force;dynamics;3;5;3;4"
"art","art;visual;pleasant;representation;5;4;5;3"
"school","school;place;institution;friendship;3;4;5;5"
"complex","complex;argument;topic;differences;3;2;3;4"
"age","77"
"gender","M"
"nationality","Italian"
"job","Retired teacher"
