"word","resp"
"art","art;Pop ;Science ;Painting;5;5;5;5"
"life","life;Amazing ;Age ;Good;5;5;3;5"
"system","system;Complex;Mechanics ;Thoughts ;3;3;3;4"
"physics","physics;Quantum ;Particle ;Classical;4;4;4;3"
"school","school;Studying ;Teachers ;Books;5;5;5;5"
"university","university;Labs ;Research ;Teaching ;5;5;5;5"
"complex","complex;System ;World ;Thought ;3;3;4;4"
"mathematics","mathematics;Elegant ;Art ;Poetry ;5;5;5;5"
"chemistry","chemistry;Reaction ;Solution ;Physics ;4;3;3;4"
"biology","biology;Animals ;System ;Ecology ;5;5;4;5"
"age","28"
"gender","F"
"nationality","Italian "
"job","Researcher "
