"word","resp"
"biology","biology;sea;life;chemistry;4;5;4;3"
"life","life;movement;adventure;journey;4;5;4;4"
"complex","complex;systems;brain;choices;3;3;4;4"
"system","system;network;cage;fear;4;3;2;2"
"chemistry","chemistry;reactions;lab;explosion;3;4;3;4"
"university","university;campus;faculty;study;4;3;3;4"
"school","school;friends;lectures;chairs;5;5;4;3"
"mathematics","mathematics;hardness;challenge;beauty;3;2;4;4"
"art","art;abstract;emotions;boredom;4;2;4;2"
"physics","physics;adventure;fear;laugh;4;4;2;4"
"age","35"
"gender","Male"
"nationality","Italian"
"job","Researcher"
