"word","resp"
"biology","biology;Green;Cell;Elephant;4;3;4;3"
"life","life;True;Strange;Energy;5;5;4;4"
"complex","complex;System;World;Task;3;3;3;3"
"system","system;Engineering;Brackets;Sharing;3;2;3;5"
"chemistry","chemistry;Rules;Fun;Explosion;3;2;5;4"
"university","university;Grading;Campus;Student;3;2;4;3"
"school","school;Teacher;Classroom;High;2;4;3;4"
"mathematics","mathematics;Rigorous;Proof;Euler;3;4;4;4"
"art","art;Visual;Red;Enthusiasm;5;3;3;5"
"physics","physics;World;Fluids;Energy;4;4;3;4"
"age","28"
"gender","Male"
"nationality","Italian"
"job","PhD "
