"word","resp"
"biology","biology;cells;job;mushy stuff;4;3;4;3"
"life","life;all;earth;us;4;3;4;5"
"complex","complex;number;structure;formula;3;3;3;3"
"system","system;biological;complex;neuroscience;3;4;3;4"
"chemistry","chemistry;atoms;school;Merck;3;3;2;3"
"university","university;college;Tuebingen;research;3;3;4;5"
"school","school;grades;past;tables;3;3;3;3"
"mathematics","mathematics;numbers;statistics;homework;4;4;5;3"
"art","art;no talent;school;painting;4;2;2;3"
"physics","physics;atoms;big bang;astronomy;4;3;4;3"
"age","29"
"gender","male"
"nationality","german"
"job","researcher (PhD-student)"
