"word","resp"
"school","school;friends;learning;distant;4;5;5;2"
"complex","complex;science;life;subject;2;4;3;4"
"art","art;Beautiful;thoughtfulness;interpretation;4;3;5;5"
"life","life;hard;Beautiful;complex;3;2;4;3"
"physics","physics;important;newton;force;3;3;4;3"
"university","university;maturity;friends;hard;4;5;5;1"
"chemistry","chemistry;science;complex;avogadro;3;4;3;4"
"mathematics","mathematics;elegant;proof;fixed;3;5;3;2"
"biology","biology;important;health;life;3;3;5;4"
"system","system;structure;bureaucracy;centralization;3;4;1;3"
"age","23"
"gender","M"
"nationality","Italian"
"job","Student"
