"word","resp"
"mathematics","mathematics;numbers;equations;solutions;4;3;4;5"
"art","art;beautiful;gallery;colors;4;5;4;4"
"life","life;family;hapyness;joy;5;5;5;5"
"system","system;box;particles-units;rules;3;3;3;3"
"biology","biology;animals;nature;health;3;4;4;4"
"school","school;children;books;homeworks;3;4;4;2"
"university","university;friends;knowledge;work;3;5;5;3"
"complex","complex;challenge;fun;networks;3;4;5;4"
"physics","physics;univers;knoledge;study;4;4;5;3"
"chemistry","chemistry;molecules;reaction;laboratory;3;3;3;2"
"age","31"
"gender","Female"
"nationality","Spanish"
"job","Postdoc"
