"word","resp"
"university","university;campus;research;teaching;4;3;5;5"
"system","system;systemd;computer;equations;3;3;5;5"
"art","art;gallery;museum;paintings;5;5;5;5"
"complex","complex;data;analysis;numbers;3;3;5;5"
"chemistry","chemistry;reactions;physics;laboratory;1;3;4;4"
"school","school;teaching;homeworks;students;4;5;2;4"
"biology","biology;chemistry;cell;proteins;2;1;3;3"
"mathematics","mathematics;study;proofs;discover;5;4;5;5"
"life","life;limit;eat;reproduction;3;1;4;3"
"physics","physics;scientific method;mathematics;prediction;4;5;5;5"
"age","20"
"gender","Male"
"nationality","Italian"
"job","Student"
