"word","resp"
"art","art;poesy;statue;painting;4;4;4;3"
"chemistry","chemistry;alchemy;solution;elements;4;3;4;5"
"physics","physics;energy;scientists;mass;5;5;4;5"
"complex","complex;complicated;network;system;5;5;5;3"
"biology","biology;nature;earth;environment;5;5;4;4"
"system","system;isolation;operative;systematic;5;2;2;3"
"university","university;learn;teach;classes;4;5;5;5"
"life","life;death;checkpoint;seven;5;;2;3"
"school","school;students;lessons;teacher;5;5;5;5"
"mathematics","mathematics;expressions;calculations;numbers;5;5;5;5"
"age","29"
"gender","Male"
"nationality","Italian"
"job","Software developer"
