"word","resp"
"complex","complex;systems;easy;world;3;3;4;4"
"system","system;connection;dynamics;risk;3;4;4;2"
"biology","biology;cell;life;nature;3;4;4;4"
"school","school;education;teacher;blackboard;5;5;5;5"
"university","university;professor;research;academia;5;4;5;4"
"chemistry","chemistry;compound;hydrogen;reaction;4;3;4;3"
"mathematics","mathematics;derivative;algebra;calculus;4;4;4;4"
"art","art;painting;museum;picasso;5;5;5;4"
"physics","physics;statistical;nature;laws;4;3;4;4"
"life","life;death;love;happiness;4;2;5;5"
"age","31"
"gender","male"
"nationality","Italian"
"job","Lecturer"
