"word","resp"
"mathematics","mathematics;Career;Beauty;Fun;5;4;5;4"
"school","school;Youth;Development;Structure;4;3;5;2"
"complex","complex;Idea;Complexity Science;Number;5;5;4;5"
"biology","biology;Infection;Genetics;Darwinism;3;2;5;4"
"chemistry","chemistry;Atom;Drugs;Vaccines;4;3;1;5"
"university","university;Freedom;Pursuit;Knowledge;5;5;5;5"
"art","art;Creative;Expression;Impractical;3;4;5;1"
"system","system;Control;Structure;Restrictive;3;1;3;1"
"physics","physics;Fundamental;Everything;Applied Mathematics;5;3;5;4"
"life","life;Wonderful;Interesting;Love;5;5;5;5"
"age","26"
"gender","Male"
"nationality","British"
"job","Academic"
