"word","resp"
"biology","biology;science;life;death;4;5;5;4"
"physics","physics;laws;cosmos;quantum;4;3;5;5"
"university","university;learning;collaboration;fun;5;5;5;5"
"complex","complex;nonlinear;dynamical;system;5;4;4;4"
"life","life;existence;eternal;consciousness;5;5;5;5"
"art","art;beauty;expression;communication;5;5;5;5"
"chemistry","chemistry;molecules;unchangable;compounds;3;3;3;3"
"mathematics","mathematics;universal;language;music;5;5;5;5"
"system","system;unified;holistic;adaptive;5;4;5;5"
"school","school;learning;opportunity;;3;5;5;"
"age","69"
"gender","male"
"nationality","USA"
"job","physician"
