"word","resp"
"life","life;Love;Truth;I;5;5;5;4"
"complex","complex;Science;System;Warwick;5;5;5;4"
"university","university;Research;Conference ;Education ;4;4;4;4"
"system","system;Complexity;Micro-macro;Feedback;5;5;5;4"
"chemistry","chemistry;Material;Lab;Products;3;3;2;2"
"physics","physics;Science ;Data;Observations;3;4;5;3"
"art","art;Creativity;Expansion;Innovation ;5;5;5;5"
"mathematics","mathematics;Beautiful ;Precise;Construction ;5;5;5;5"
"school","school;Education ;Pupils;Social;3;3;3;4"
"biology","biology;Nature;Interdependence ;Amazing ;3;5;5;5"
"age","28"
"gender","Female"
"nationality","Dutch "
"job","PhD student "
