"word","resp"
"chemistry","chemistry;Molar equations;Periodic table;Valence shells;2;3;4;4"
"mathematics","mathematics;Limits;Waves;Factoring;5;5;5;3"
"biology","biology;Linnaean Nomenclature;Genetics;Microbiology;5;5;5;5"
"life","life;Love;Liberty;The pursuit of happiness;5;5;5;5"
"university","university;Labs;Libraries;Theses;5;5;5;5"
"system","system;Navigation;Plotting;Representation;3;3;3;3"
"school","school;Children;Play;Chalkboards;5;5;5;5"
"complex","complex;Music;Math;Time;5;5;5;5"
"physics","physics;Retrocausality;Entropy;Gravity;3;5;5;5"
"art","art;Rousseau ;Patriot;Chopin;5;5;5;5"
"age","41"
"gender","Female"
"nationality","American"
"job","Teacher"
