"word","resp"
"physics","physics;math;astronomy;star;5;5;4;4"
"biology","biology;animal;plant;blood;2;4;3;2"
"university","university;college;professor;class;3;3;4;4"
"complex","complex;systems;analysis;numbers;5;5;5;5"
"life","life;death;living;blood;4;2;3;2"
"system","system;architecture;administrator;design;5;5;2;2"
"school","school;class;learn;educations;3;4;5;5"
"mathematics","mathematics;numbers;theory;proof;5;5;3;4"
"chemistry","chemistry;atom;molecule;chemical;1;2;1;1"
"art","art;painting;movie;music;1;3;5;4"
"age","21"
"gender","Male"
"nationality","United States"
"job","Student"
