"word","resp"
"university","university;books;study;time;5;5;5;5"
"mathematics","mathematics;numbers;speed;skill;3;5;3;4"
"art","art;beauty;colour;museum;4;4;5;3"
"biology","biology;nature;flowers;animals;5;5;4;4"
"chemistry","chemistry;difficulty;subject;person;3;2;3;5"
"physics","physics;universe;stars;matter;3;5;5;3"
"complex","complex;music;numbers;brain;5;4;4;5"
"school","school;students;books;fun;5;5;4;4"
"system","system;operations;complexity;elements;4;4;4;5"
"life","life;health;fun;universe;5;5;4;4"
"age","67"
"gender","Female"
"nationality","Italian"
"job","Housewife"
