"word","resp"
"university","university;study;exams;job;5;5;4;5"
"mathematics","mathematics;problems;graphs;functions;5;4;4;4"
"art","art;artists;sculptors;painters;5;4;4;4"
"biology","biology;cell;exams;elements;5;4;5;4"
"chemistry","chemistry;components;mixture;compounds;5;4;3;4"
"physics","physics;work;force;balance;5;5;5;5"
"complex","complex;difficult;hard;physical;4;3;2;3"
"school","school;education;skill;results;5;5;5;4"
"system","system;optical;economic;physical;4;4;5;5"
"life","life;long;good;difficult;5;5;5;3"
"age","75"
"gender","Male"
"nationality","Italian"
"job","Retired professional"
