"word","resp"
"university","university;research;physics;architecture;4;4;4;3"
"mathematics","mathematics;pde;integrals;yellow;4;3;3;4"
"art","art;painting;pop;red;4;4;3;4"
"biology","biology;cell;bacteria;virus;3;3;2;2"
"chemistry","chemistry;bunsen;carbon;hexagon;3;2;3;4"
"physics","physics;quantum;green;spectrum;4;4;4;3"
"complex","complex;system;network;relationship;3;3;3;4"
"school","school;morning;day;;3;2;3;3"
"system","system;closed;complex;;3;3;3;3"
"life","life;complex;hard;rewarding;5;3;2;4"
"age","31"
"gender","Male"
"nationality","Italian"
"job","Academia"
