"word","resp"
"system","system;input;output;function;5;5;5;5"
"life","life;carbon;alive;me;5;5;5;5"
"art","art;expression;freedom;everything;5;5;5;5"
"chemistry","chemistry;bond;material;substance;5;5;5;5"
"biology","biology;life;animal;earth;5;5;5;5"
"mathematics","mathematics;numbers;functions;mapping;5;5;5;5"
"university","university;learning;school;people;5;5;5;5"
"complex","complex;elegant;working;production;5;5;5;5"
"school","school;people;structure;mornings;5;5;5;5"
"physics","physics;planes;photons;feynman;5;5;5;5"
"age","31"
"gender","M"
"nationality","Italian"
"job","Data Scientist"
