"word","resp"
"complex","complex;Full;Difficult ;Fun;4;3;5;5"
"life","life;Lots;Diverse;Game;4;4;5;4"
"physics","physics;Oh la la;Nature of science ;Fun;5;5;5;5"
"school","school;Paycheck;Community ;Ugh;3;4;3;1"
"mathematics","mathematics;Beautiful ;Diverse;For all ;4;4;4;3"
"biology","biology;Slimey;Growth ;Life;3;4;4;4"
"university","university;Money;Gatekeeper ;Not for all;4;2;2;4"
"chemistry","chemistry;Molecules ;Models;Glasses;3;3;5;2"
"system","system;Overlap;Connect;Ideas;4;5;5;5"
"art","art;Pretty ;Personal ;Variety ;5;4;4;3"
"age","54"
"gender","female"
"nationality","US"
"job","Teacher"
