"word","resp"
"biology","biology;worm;level;alive;4;5;3;4"
"chemistry","chemistry;mix;drug;take;4;5;3;3"
"school","school;learn;go;take;3;5;5;3"
"physics","physics;math;science;problem;4;5;3;5"
"system","system;together;bring;mix;5;5;3;5"
"life","life;all;organism;total;3;5;5;5"
"art","art;something;whatever;color;5;5;5;5"
"mathematics","mathematics;good;problem;solution;5;5;5;4"
"university","university;learn;people;students;3;5;3;4"
"complex","complex;difficult;combined;always;5;2;4;3"
"age","26"
"gender","Male"
"nationality","American"
"job","Graduate Teaching Assistant"
