"word","resp"
"chemistry","chemistry;Organic;Industry;Sustainability;2;2;3;4"
"life","life;Work;Joy;Love;4;4;5;4"
"mathematics","mathematics;Numbers;Formula;Results;4;4;4;4"
"physics","physics;Astro phyics;Quantum physic;Newton;4;4;4;3"
"complex","complex;Emergence;Nodes ;Ties;4;4;4;5"
"university","university;Teaching;Professor;Methods;4;4;5;4"
"system","system;Environment;Distinction;Whole/parts;4;4;5;3"
"school","school;Teacher;Kids;Learning;3;3;4;4"
"biology","biology;Nature;Networks;Neuro;3;3;4;3"
"art","art;Paintings;Music;Networks;3;3;4;4"
"age","50"
"gender","Male"
"nationality","German"
"job","Professor"
