"word","resp"
"biology","biology;science;nerd;marine;4;4;2;3"
"system","system;complex;society;organized;4;4;4;4"
"complex","complex;simple;housing;sophisticated;4;4;3;3"
"chemistry","chemistry;glasses;reactions;explosion;3;3;3;2"
"art","art;painting;artsy;snob;4;4;3;2"
"physics","physics;mathematics;cold;cern;3;3;3;3"
"mathematics","mathematics;numbers;geometry;beauty;3;3;3;4"
"university","university;students;class;learning;4;4;4;4"
"school","school;children;chaos;teachers;3;3;2;3"
"life","life;exhaustion;blooming;green;4;2;4;4"
"age","28"
"gender","female"
"nationality","Belgian"
"job","researcher"
