"word","resp"
"life","life;planet;learning;fear;5;5;5;2"
"system","system;order;dynamics;emergence;5;5;5;5"
"complex","complex;interconnected;network;nice;5;5;5;5"
"biology","biology;life;health;planet;;3;5;5"
"chemistry","chemistry;formulas;lab;plastic;1;1;3;3"
"physics","physics;hard;newton;battery;1;1;1;3"
"art","art;rembrandt;looking;painting;4;4;5;3"
"university","university;science;research;evidence;4;4;4;3"
"school","school;learning;class;books;4;5;3;3"
"mathematics","mathematics;numbers;formulas;proof;2;2;2;2"
"age","50"
"gender","male"
"nationality","dutch"
"job","lecturer"
