"word","resp"
"complex","complex;Systems ;Problem;World;3;3;4;3"
"biology","biology;Nature;Evolution ;Life;5;5;5;5"
"life","life;Complex ;Oxygen ;Water;5;3;5;5"
"school","school;System ;Bureaucracy ;Lessons ;3;3;1;3"
"mathematics","mathematics;Life;Algorithms ;Numbers ;5;5;5;5"
"physics","physics;Laws;Answers ;Wicked ;5;3;5;3"
"chemistry","chemistry;Experiment ;Gas;Medicine;5;5;3;4"
"art","art;Life;Expression ;Language ;5;5;5;5"
"university","university;Bureaucracy ;Slow ;Tower;3;1;1;2"
"system","system;Way;Norm;Part;3;3;2;3"
"age","48"
"gender","Female "
"nationality","Spanish "
"job","Lecturer "
