"word","resp"
"art","art;Picture;Beauty;Relax;4;3;4;5"
"system","system;Eco;Fixed;Rigid;2;4;2;2"
"life","life;Free;Living;Fragile;5;5;5;2"
"physics","physics;Motion;Testing;Energy;5;4;4;5"
"biology","biology;Life;Animals;Function;5;5;5;5"
"mathematics","mathematics;Numbers;Formulas;Logic ;3;2;2;3"
"complex","complex;Dynamic ;Challenging;Abstract;4;4;4;4"
"chemistry","chemistry;Molecules;Matter;Interactions;5;5;5;5"
"school","school;Students ;Teachers;Work;4;5;5;4"
"university","university;Science;Research;Inspiration;4;5;5;5"
"age","41"
"gender","Female"
"nationality","Australian"
"job","Teacher"
