"word","resp"
"chemistry","chemistry;role;valence;bound;3;3;3;3"
"complex","complex;book;grammar;smart;3;4;2;5"
"system","system;agent;puzzle;model;3;4;4;4"
"university","university;role;professor;guide;4;4;4;5"
"biology","biology;rule;cell;evolution;4;3;3;4"
"school","school;location;classroom;value;3;3;3;5"
"life","life;short;easy;amazing;5;2;5;5"
"mathematics","mathematics;formula;tool;triangle;3;3;3;3"
"physics","physics;speed;laws;universe;3;3;3;5"
"art","art;eye;esthetics ;monument;5;5;5;5"
"age","39"
"gender","male"
"nationality","italian"
"job","business manager"
