"word","resp"
"school","school;college;teacher;homework;5;5;5;2"
"physics","physics;force;mass;acceleration;4;2;3;3"
"complex","complex;system;simplicial;simple;5;5;3;2"
"art","art;painting;poem;book;4;4;5;5"
"chemistry","chemistry;solution;molecules;compound;3;4;3;2"
"mathematics","mathematics;pure;unify;notation;3;4;4;3"
"biology","biology;evolution;cells;adaptation;3;4;3;5"
"system","system;complex;dimension;noise;5;5;4;3"
"life","life;adaptation;boundary;free energy;5;5;3;5"
"university","university;school;college;education;4;5;5;5"
"age","28"
"gender","m"
"nationality","USA"
"job","PhD student"
