"word","resp"
"school","school;teacher;classroom;children;4;4;3;5"
"physics","physics;laws of nature;measures;mathematics;5;5;4;4"
"complex","complex;challenging;moving parts;unclear;5;5;3;4"
"art","art;beautiful;deep;artist;5;5;5;3"
"chemistry","chemistry;experiments;periodic table;reaction;5;5;5;5"
"mathematics","mathematics;formula;numbers;formal logic;5;5;3;3"
"biology","biology;animals;nature;systems;3;4;5;3"
"system","system;many parts;structure;;3;3;4;"
"life","life;long learning;beautiful;happy;5;5;5;5"
"university","university;research;professors;students;5;5;4;3"
"age","40"
"gender","male"
"nationality","dutch"
"job","university professor"
