"word","resp"
"life","life;enjoy;green;breath;5;5;5;5"
"physics","physics;fun;highschool;chemistry;4;5;4;3"
"system","system;chemistry;whole;helpful;4;3;5;5"
"school","school;learning;life;people;4;5;5;5"
"biology","biology;nature;green;animals;4;5;5;5"
"art","art;museums;hobby;clients;5;5;5;4"
"mathematics","mathematics;problem solving;fun;school;5;5;5;4"
"complex","complex;challenge;wicked;fun;5;5;5;5"
"chemistry","chemistry;high school;experiments;team;3;4;5;5"
"university","university;fun;learning;international;5;5;5;5"
"age","53"
"gender","female"
"nationality","Dutch"
"job","consultant"
