"word","resp"
"mathematics","mathematics;Logic;Numbers;Grade;5;5;3;1"
"art","art;Inspiration;Freedom;Beauty;5;3;5;5"
"university","university;Exams;Job;Culture;5;1;1;5"
"school","school;Teachers;Institution;Classroom;5;4;5;2"
"life","life;Life;Love;Learning;5;5;5;5"
"physics","physics;Newton;Formulas;Word;5;3;1;3"
"system","system;Order;Rules;Informatics;2;5;5;4"
"chemistry","chemistry;Formulas;Atom;Elements;5;2;2;1"
"complex","complex;Simple;Numbers;Problem;3;3;5;3"
"biology","biology;Life;Cells;Physiology;5;5;5;5"
"age","28"
"gender","M"
"nationality","Italian"
"job","Student"
