"word","resp"
"mathematics","mathematics;theology;physics;philosophy ;3;4;3;4"
"chemistry","chemistry;physics;element;poison ;2;3;3;5"
"physics","physics;movement;principle;particle;3;3;3;3"
"school","school;university;college;education;4;4;4;4"
"system","system;work;government;breakdown;2;2;2;1"
"life","life;death;love;live;4;2;5;4"
"art","art;science;work;music;5;4;2;5"
"university","university;college;oxford;descipline;4;4;4;2"
"biology","biology;chemistry;physics;science;3;3;3;4"
"complex","complex;simple;thought;structure;4;4;3;3"
"age","27"
"gender","Male"
"nationality","Chinese"
"job","Student"
