"word","resp"
"school","school;class;book;friends;5;4;5;5"
"physics","physics;hamiltonian;me;matter;5;5;5;3"
"art","art;van gogh;beauty;Florence;5;5;5;5"
"biology","biology;boring;leafs;nature;4;1;3;4"
"life","life;good;biology;cell;4;5;3;3"
"university","university;hat;teaching;building;4;3;5;3"
"complex","complex;systems;networks;brain;3;3;3;5"
"mathematics","mathematics;love;equation;logic;5;5;4;5"
"chemistry","chemistry;cooking;boring;molecules;3;3;1;3"
"system","system;complex;economical;thinking;3;3;3;5"
"age","44"
"gender","male"
"nationality","croatian"
"job","scientist (physicist)"
