"word","resp"
"physics","physics;Motion;Laws;Engineer;5;5;3;4"
"art","art;Beauty;Fruition;Peace;5;5;4;5"
"chemistry","chemistry;Elements;Medicine;Cancer;2;3;5;1"
"system","system;Parts;Interaction;Emergence;3;2;5;4"
"life","life;Good;Goal;Children;5;3;4;5"
"mathematics","mathematics;Finance;Money;Obvious;4;4;4;1"
"complex","complex;Moon;Children;Policies;5;2;5;5"
"school","school;Students;Future;Education;4;3;5;5"
"biology","biology;Cells;Evolution;Life;3;2;4;5"
"university","university;Friends;World;Learning;4;5;3;5"
"age","47"
"gender","Male"
"nationality","Brazilian"
"job","Public worker"
