"word","resp"
"chemistry","chemistry;reaction;explosion ;boring;1;3;1;1"
"physics","physics;quantum;statistical;mechanics;5;5;5;4"
"art","art;l'art pour l'art;meaning of life;poetry;5;5;5;5"
"mathematics","mathematics;Kolmogorov;probability;job;5;5;5;3"
"university","university;exam;professors;research;4;2;5;5"
"school","school;hell on earth;chalk;pals;2;1;4;5"
"complex","complex;analysis ;measure;integration;4;5;5;3"
"life","life;art;good;way;5;5;5;5"
"biology","biology;extremely boring;plants ;ecology;1;1;1;1"
"system","system;dynamical ;measurable;equation;4;5;5;3"
"age","22"
"gender","male"
"nationality","citizen of Serbia"
"job","undergrad. student"
