"word","resp"
"chemistry","chemistry;reaction;chemicals;glass;2;2;2;3"
"physics","physics;force;nature;newton;4;2;4;3"
"art","art;brush;canvas;book;5;3;4;3"
"mathematics","mathematics;plus;square root;equation;4;3;2;2"
"university","university;building;learning;people;3;3;4;4"
"school","school;backpack;teacher;mark;4;3;3;2"
"complex","complex;system;numbers;simple;3;4;5;5"
"life","life;ocean;organisms;moving;5;2;2;3"
"biology","biology;life;breathing;green;4;4;4;4"
"system","system;living;together;links;3;4;5;4"
"age","23"
"gender","male"
"nationality","Serbian"
"job","student"
