"word","resp"
"chemistry","chemistry;molecules;beakers;stoichiometry;5;5;4;5"
"physics","physics;force;black hole;Newton;5;5;5;5"
"art","art;Renaissance;style;aesthetic;5;5;5;5"
"mathematics","mathematics;numbers;proof;logic;5;5;5;5"
"university","university;organization;open;ideas;5;5;5;5"
"school","school;foundation;learning;classes;3;5;5;4"
"complex","complex;networks;interactions;dynamic;5;5;5;5"
"life","life;complex;interesting;deep;5;5;5;5"
"biology","biology;genes;cells;synapses;5;5;5;5"
"system","system;collection;dynamical;complex;5;5;5;5"
"age","28"
"gender","M"
"nationality","Norwegian"
"job","Student"
