"word","resp"
"school","school;teacher;education;book;5;5;5;4"
"university","university;exam;learn;specialization;5;4;5;5"
"physics","physics;nature;models;maths;4;5;5;4"
"system","system;control;abstract;elements;3;3;3;3"
"life","life;biology;cell;dna;4;4;4;3"
"mathematics","mathematics;theorem;write;logic;4;5;3;5"
"complex","complex;hard;approximation;network;5;4;4;4"
"biology","biology;cell;shapes;dna;4;4;4;3"
"art","art;color;line;representation;5;3;3;5"
"chemistry","chemistry;manipulate;evolution;experiment;4;4;4;4"
"age","31"
"gender","F"
"nationality","Italian"
"job","Researcher"
