"word","resp"
"school","school;bus;class;teacher;4;3;4;4"
"university","university;degree;knowledge;student;5;4;5;4"
"physics","physics;teacher;nature;mathematics;4;5;5;5"
"system","system;computer;rules;;3;4;2;"
"life","life;death;nature;biology;5;2;4;4"
"mathematics","mathematics;equation;proof;science;5;4;5;5"
"complex","complex;intricate;difficult;;4;5;3;"
"biology","biology;nature;organism;cells;4;5;3;3"
"art","art;painting;dance;museum;5;4;5;4"
"chemistry","chemistry;atoms;reaction;laboratory;4;4;3;4"
"age","32"
"gender","male"
"nationality","Dutch"
"job","researcher"
