"word","resp"
"school","school;Learning;Teacher;Knowledge;;;;"
"university","university;Knowledge;Professor;Student;;;;"
"physics","physics;Engine;Newton;Movement;;;;"
"system","system;Isolation;Sun;Political;;;;"
"life","life;Social;Death;Love;;;;"
"mathematics","mathematics;Numbers;Equations;Science;;;;"
"complex","complex;System;Building ;Emotions;;;;"
"biology","biology;Science;Life;Plants;;;;"
"art","art;Abstract;Beauty;Life;5;4;5;5"
"chemistry","chemistry;Elements;Experiment;Atom;4;4;5;3"
"age","22"
"gender","Male"
"nationality","Serbian"
"job","Historian"
