"word","resp"
"school","school;pupils;teachers;bulling;5;5;5;1"
"university","university;degree;graduation;practicals;5;5;5;5"
"physics","physics;variables;equations;Newton;5;5;5;5"
"system","system;integration;engineering;structure;5;5;5;5"
"life","life;enjoying;love;phd;5;5;5;5"
"mathematics","mathematics;calculations;equations;graphs;5;5;5;5"
"complex","complex;numbers;tasks;life;5;5;5;5"
"biology","biology;cell;medicine;animals;5;5;5;5"
"art","art;paintings;music;museums;5;5;5;5"
"chemistry","chemistry;compounds;elements;Marie Curie;5;5;5;5"
"age","29"
"gender","female"
"nationality","english"
"job","post-doctoral research associate"
