"word","resp"
"art","art;Dali;brush;palette;5;5;4;4"
"life","life;breathing ;heart;mind;5;5;5;5"
"chemistry","chemistry;compound;ionization ;formula;5;5;4;4"
"physics","physics;nature;Phenomena;Tesla;5;5;5;5"
"biology","biology;cell;anatomy;plants;5;5;5;5"
"mathematics","mathematics;Pythagoras ;Euclid;Leibniz ;5;5;5;5"
"complex","complex;numbers;System;task;4;5;5;4"
"school","school;teacher;pupil;subject;5;4;5;5"
"system","system;complex;organized;measurements ;5;4;5;5"
"university","university;professor ;fee;scholarship ;5;5;4;4"
"age","20"
"gender","Female"
"nationality","Serbian "
"job","Student"
