"word","resp"
"complex","complex;hard;hypothesis;;3;2;3;"
"school","school;education;peers;studying;3;4;4;3"
"physics","physics;theory;mathematics;gravity;4;4;4;3"
"life","life;death;biology;development;5;1;4;4"
"system","system;theory;mechanism;element;3;4;4;4"
"biology","biology;life;plant;cell;4;5;3;3"
"chemistry","chemistry;atom;nucleus;formula;3;3;3;3"
"mathematics","mathematics;number;calculation;formula;3;3;3;3"
"art","art;freedom;meaning;emotion;4;5;4;4"
"university","university;education;stress;life;3;4;1;5"
"age","22"
"gender","female"
"nationality","Serbian"
"job","psychology student"
