"word","resp"
"complex","complex;maths;building;thinking;3;2;3;4"
"physics","physics;mechanics;;;4;4;3;3"
"university","university;building;community;pressure;3;3;2;1"
"life","life;precious;hard;short;3;4;2;2"
"chemistry","chemistry;Mendelejew;Elements;Reactions;5;3;5;5"
"school","school;pressure;exclusion;suppression;1;1;1;1"
"system","system;order;pressure;;3;3;1;3"
"art","art;freedom;beauty;expression;5;5;3;5"
"biology","biology;life;nature;science;5;5;5;5"
"mathematics","mathematics;complex;hard;pressure;3;2;2;1"
"age","31"
"gender","female"
"nationality","German"
"job","Regulatory Affairs Manager"
