"word","resp"
"chemistry","chemistry;chemicals;chlorine;laboratory;3;2;2;4"
"system","system;language;computer;rebellion;4;5;4;3"
"complex","complex;simple;algorythm;scheme;4;3;4;4"
"university","university;studies;research;lectures;5;5;5;"
"art","art;techinque;concept;purpose;5;5;5;5"
"physics","physics;relativity;gravity;formulas;3;3;2;2"
"school","school;teacher;lessons;classroom;3;3;4;2"
"biology","biology;animals;cells;life;4;4;3;5"
"mathematics","mathematics;formulas;equation;numbers;2;2;2;2"
"life","life;Earth;birth;death;5;5;5;2"
"age","19"
"gender","female"
"nationality","Serbian"
"job","college student"
