"word","resp"
"chemistry","chemistry;physics;science;breaking bad;4;5;5;5"
"art","art;paintings;study;museum;5;5;4;5"
"university","university;students;ivy leage;future;5;5;5;5"
"complex","complex;science;networks;systems;5;5;5;5"
"physics","physics;science;rigore;exact;5;5;5;5"
"biology","biology;science;life;animals;5;5;5;3"
"school","school;learning;classes;friends;4;5;4;5"
"system","system;complex;closed;isolated;3;5;3;3"
"life","life;death;future;career;4;1;5;5"
"mathematics","mathematics;physics;integrals;calculus;5;5;4;4"
"age","39"
"gender","female"
"nationality","Serbian"
"job","scientest"
