"word","resp"
"system","system;Philosophy ;Politics;Values;3;5;3;4"
"school","school;Elementary;High;Gymnasium;3;3;3;3"
"art","art;Freedom;Objective;Philosophy;5;5;4;5"
"chemistry","chemistry;Science;Liquids;Formulas;3;4;3;3"
"life","life;Health;Fight;Breath;5;5;2;3"
"university","university;Education;Autonomy;Youth peoples (friends);4;5;5;5"
"complex","complex;Psychology;Compound parts;Numbers;4;4;4;"
"physics","physics;Science;Neewton;Einstein;4;4;4;4"
"mathematics","mathematics;Elementary science;Philosophy;Ancient Greeks;4;4;5;5"
"biology","biology;Evolution;Organism;Ontology;5;4;5;5"
"age","25"
"gender","Male"
"nationality","Serbian"
"job","Student of Philosophy"
