"word","resp"
"system","system;operating;Solar;period;3;3;5;3"
"school","school;elementary;mark;education;5;5;3;4"
"biology","biology;butterfly;flower;DNA;5;5;5;3"
"complex","complex;system;molecules;mind;3;5;5;3"
"art","art;picture;sculpture;movie;5;5;5;5"
"mathematics","mathematics;number;operation;ruler;3;3;3;3"
"physics","physics;mathematical pendulum;acceleration;tuning fork;3;3;3;3"
"life","life;children;family;partner;5;5;5;5"
"chemistry","chemistry;compounds;Erlenmeyer flask;pipette;3;3;3;3"
"university","university;diploma;knowledge;pride;5;5;5;5"
"age","33"
"gender","female"
"nationality",""
"job","research associate"
