"word","resp"
"university","university;studying;professorss;students;5;5;4;4"
"mathematics","mathematics;logic;equations;theorems;5;5;5;5"
"biology","biology;plants;animals;nature;5;5;5;5"
"life","life;humans;cells;earth;5;5;4;3"
"chemistry","chemistry;reactions;elements;molecules;4;3;4;4"
"physics","physics;nature;laws;elementary particles;5;5;5;4"
"complex","complex;real;imaginary;complicated;3;3;3;2"
"school","school;teachers;students;classes;4;3;2;1"
"system","system;politics;physics;soccer;3;1;4;5"
"art","art;paintings;dancing;music;4;4;4;4"
"age","38"
"gender","male"
"nationality","Serbia"
"job","physicist"
